scenario_id,trial_number,fund_a,fund_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,246,14,85
e25b48e9-4356-4c4c-8b05-94132af9dac1,247,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,248,10,89
e25b48e9-4356-4c4c-8b05-94132af9dac1,249,10,89
e25b48e9-4356-4c4c-8b05-94132af9dac1,250,4,95
e25b48e9-4356-4c4c-8b05-94132af9dac1,251,6,93
e25b48e9-4356-4c4c-8b05-94132af9dac1,252,7,92
e25b48e9-4356-4c4c-8b05-94132af9dac1,253,11,88
e25b48e9-4356-4c4c-8b05-94132af9dac1,254,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,255,10,89
e25b48e9-4356-4c4c-8b05-94132af9dac1,256,11,88
e25b48e9-4356-4c4c-8b05-94132af9dac1,257,18,81
e25b48e9-4356-4c4c-8b05-94132af9dac1,258,19,80
e25b48e9-4356-4c4c-8b05-94132af9dac1,259,17,82
e25b48e9-4356-4c4c-8b05-94132af9dac1,260,19,80
e25b48e9-4356-4c4c-8b05-94132af9dac1,261,20,79
e25b48e9-4356-4c4c-8b05-94132af9dac1,262,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,263,20,79
e25b48e9-4356-4c4c-8b05-94132af9dac1,264,19,80
e25b48e9-4356-4c4c-8b05-94132af9dac1,265,17,82
e25b48e9-4356-4c4c-8b05-94132af9dac1,266,15,84
e25b48e9-4356-4c4c-8b05-94132af9dac1,267,16,83
e25b48e9-4356-4c4c-8b05-94132af9dac1,268,16,83
e25b48e9-4356-4c4c-8b05-94132af9dac1,269,17,82
e25b48e9-4356-4c4c-8b05-94132af9dac1,270,18,81
e25b48e9-4356-4c4c-8b05-94132af9dac1,271,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,272,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,273,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,274,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,275,22,77
e25b48e9-4356-4c4c-8b05-94132af9dac1,276,22,77
e25b48e9-4356-4c4c-8b05-94132af9dac1,277,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,278,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,279,26,73
e25b48e9-4356-4c4c-8b05-94132af9dac1,280,27,72
e25b48e9-4356-4c4c-8b05-94132af9dac1,281,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,282,26,73
e25b48e9-4356-4c4c-8b05-94132af9dac1,283,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,284,22,77
e25b48e9-4356-4c4c-8b05-94132af9dac1,285,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,286,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,287,28,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,288,29,70
e25b48e9-4356-4c4c-8b05-94132af9dac1,289,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,290,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,291,29,70
e25b48e9-4356-4c4c-8b05-94132af9dac1,292,28,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,293,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,294,28,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,295,28,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,296,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,297,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,298,29,70
e25b48e9-4356-4c4c-8b05-94132af9dac1,299,27,72
e25b48e9-4356-4c4c-8b05-94132af9dac1,300,24,75
