scenario_id,fund_return_id,trial_number,return_a,return_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,908d6fed-eac8-4cdf-86fd-03f23e7586c9,1,0.24947530654447267,1.0866376783287954
e25b48e9-4356-4c4c-8b05-94132af9dac1,ec878a43-945b-4fd7-bea9-e4d730a5ed63,2,0.24977406669209146,1.0308861909989062
e25b48e9-4356-4c4c-8b05-94132af9dac1,486d7ff8-8c7a-49cd-9d9c-95fe82acbec4,3,0.2498736038444157,1.0962478679637293
e25b48e9-4356-4c4c-8b05-94132af9dac1,758b90dd-1d62-4ab1-88c9-95410b24efda,4,0.2500727078769301,1.0373914492604894
e25b48e9-4356-4c4c-8b05-94132af9dac1,6add03e7-4588-48cc-a1a7-ddb9008c5568,5,0.24967477711163114,0.9795644918025838
e25b48e9-4356-4c4c-8b05-94132af9dac1,a19d2203-a450-4ce8-86d0-95e791780ff3,6,0.24897780889503712,0.9821607998559797
e25b48e9-4356-4c4c-8b05-94132af9dac1,a8889e1c-0c9f-4dab-b3f7-20b94dc90fd5,7,0.24927642035398226,0.9344032239140336
e25b48e9-4356-4c4c-8b05-94132af9dac1,185bb569-5a09-4660-a3e0-c2596d8a8032,8,0.24957497237888973,0.9936513998801619
e25b48e9-4356-4c4c-8b05-94132af9dac1,f4a77e8f-b960-4947-9686-1b2271ef528e,9,0.2503712300102907,0.899370112811646
e25b48e9-4356-4c4c-8b05-94132af9dac1,7031458b-f8e5-4a21-a014-e0deb1edaea7,10,0.2512666188180599,0.899400262474575
e25b48e9-4356-4c4c-8b05-94132af9dac1,543cc054-15a0-4c05-b19b-705f31795c84,11,0.25216245324814907,0.7757147920729351
e25b48e9-4356-4c4c-8b05-94132af9dac1,6cb259d2-157e-4453-a560-c3a0fdda9ceb,12,0.25226196068641216,0.7624660008288193
e25b48e9-4356-4c4c-8b05-94132af9dac1,99d18d67-a54a-47a5-916c-38756eb85f1c,13,0.2533566515455938,0.7644202847657743
e25b48e9-4356-4c4c-8b05-94132af9dac1,12310994-a352-4bfd-8a83-acf6d35047c9,14,0.2532570350689462,0.6606787780602875
e25b48e9-4356-4c4c-8b05-94132af9dac1,886583ad-0124-485e-92e2-ede42f42c005,15,0.2535558249720704,0.5864341094848721
e25b48e9-4356-4c4c-8b05-94132af9dac1,65a468dc-0d8d-4c37-a119-86b4ce05b0e2,16,0.252858787353607,0.6470991871100018
e25b48e9-4356-4c4c-8b05-94132af9dac1,13eaa91c-c076-4bc0-9973-557af1ca2fea,17,0.25186247363165826,0.6295804952205756
e25b48e9-4356-4c4c-8b05-94132af9dac1,09502e83-bda7-4b03-87a2-e036444c064a,18,0.250666539664122,0.6020041278623205
e25b48e9-4356-4c4c-8b05-94132af9dac1,a4c80f7d-b8f9-49db-824e-a75d8767ace9,19,0.24917214337106836,0.6380011813005949
