scenario_id,fund_return_id,trial_number,return_a,return_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,e18fcdd1-71af-4a56-88d0-c7d8c3de5351,1,0.24947530654447267,1.0866376783287954
e25b48e9-4356-4c4c-8b05-94132af9dac1,e5c2933c-4fcb-47e4-9a0d-031dc36deacd,2,0.24977406669209146,1.0308861909989062
e25b48e9-4356-4c4c-8b05-94132af9dac1,defdf8ca-2cef-43ac-914a-f63e4a646f71,3,0.2498736038444157,1.0962478679637293
e25b48e9-4356-4c4c-8b05-94132af9dac1,e4ac95e0-9c6b-4e18-94f2-537ffc75621f,4,0.2500727078769301,1.0373914492604894
e25b48e9-4356-4c4c-8b05-94132af9dac1,89c82107-77b5-45cd-9de5-8ff1eef92204,5,0.24967477711163114,0.9795644918025838
e25b48e9-4356-4c4c-8b05-94132af9dac1,6ae76382-537b-4abf-987c-c8b7191ea7c7,6,0.24897780889503712,0.9821607998559797
e25b48e9-4356-4c4c-8b05-94132af9dac1,f4e73376-fd95-49c8-8686-91a830696a4f,7,0.24927642035398226,0.9344032239140336
e25b48e9-4356-4c4c-8b05-94132af9dac1,88dc295e-a4d2-4c90-b354-51e0499d90cd,8,0.24957497237888973,0.9936513998801619
e25b48e9-4356-4c4c-8b05-94132af9dac1,5cf7779c-43d5-4b02-927d-aba1ec713566,9,0.2503712300102907,0.899370112811646
e25b48e9-4356-4c4c-8b05-94132af9dac1,5d9fa593-1e93-422b-8c76-70eab87b945a,10,0.2512666188180599,0.899400262474575
e25b48e9-4356-4c4c-8b05-94132af9dac1,66676c98-3b4f-4602-bccf-db2ef4644d22,11,0.25216245324814907,0.7757147920729351
e25b48e9-4356-4c4c-8b05-94132af9dac1,e92c2bae-01d3-4267-a989-02e1ac2b93b4,12,0.25226196068641216,0.7624660008288193
e25b48e9-4356-4c4c-8b05-94132af9dac1,57e7262e-fb47-4896-8853-79d896a588d4,13,0.2533566515455938,0.7644202847657743
e25b48e9-4356-4c4c-8b05-94132af9dac1,c0674301-d197-4133-853e-4a378f494781,14,0.2532570350689462,0.6606787780602875
e25b48e9-4356-4c4c-8b05-94132af9dac1,f3346344-db51-48b2-9b23-fe3de44d9574,15,0.2535558249720704,0.5864341094848721
e25b48e9-4356-4c4c-8b05-94132af9dac1,1f3470cd-7634-4711-afc0-509170eb9311,16,0.252858787353607,0.6470991871100018
e25b48e9-4356-4c4c-8b05-94132af9dac1,1181df34-b2d5-465d-88b0-c3afc92d32b5,17,0.25186247363165826,0.6295804952205756
e25b48e9-4356-4c4c-8b05-94132af9dac1,03d748f9-2913-48d7-b3a2-4bd534f22597,18,0.250666539664122,0.6020041278623205
e25b48e9-4356-4c4c-8b05-94132af9dac1,256f37a5-b47c-4c89-8e34-a7aa69f3d051,19,0.24917214337106836,0.6380011813005949
e25b48e9-4356-4c4c-8b05-94132af9dac1,165b0347-a918-44c3-93fe-8eb0f73fe8a7,20,0.24817573037511734,0.5531067818377479
e25b48e9-4356-4c4c-8b05-94132af9dac1,a34dca2f-da43-46d5-a9b9-144557a49832,21,0.24658146937582565,0.4150940176076324
e25b48e9-4356-4c4c-8b05-94132af9dac1,e4753e7d-d0c0-498e-bc10-8bc6cda8845f,22,0.2445878483008448,0.40723576160634617
e25b48e9-4356-4c4c-8b05-94132af9dac1,ef521886-be22-49cf-a1ad-5c13ae593e67,23,0.24219478703317276,0.4089113090644656
e25b48e9-4356-4c4c-8b05-94132af9dac1,5f123add-39ba-4bb9-9a4a-607c2a786b00,24,0.2391042108231015,0.43819637235852005
e25b48e9-4356-4c4c-8b05-94132af9dac1,f9b861d9-bcef-4efc-b061-07c657eae7f0,25,0.2360133264639569,0.36298923382375137
e25b48e9-4356-4c4c-8b05-94132af9dac1,4487e860-9d33-4f80-a436-aca9c1db0119,26,0.23342006748023317,0.33609408967938514
e25b48e9-4356-4c4c-8b05-94132af9dac1,5b7d4a8e-32e5-498e-a417-9d8aac242cf8,27,0.23042844179469704,0.41572292475564193
e25b48e9-4356-4c4c-8b05-94132af9dac1,cf0343ee-3d78-486b-91be-b241d550c2dd,28,0.22763653650127674,0.2955738687147489
e25b48e9-4356-4c4c-8b05-94132af9dac1,1bd8c3fd-d252-4b7f-8e6d-2f527b56b13b,29,0.2241475233422083,0.22952583170475
e25b48e9-4356-4c4c-8b05-94132af9dac1,032ea336-108b-4dca-8aa2-cf6ecc59ede8,30,0.22175350723621082,0.1117656765488444
e25b48e9-4356-4c4c-8b05-94132af9dac1,1dcb1155-a325-4a5a-8803-40fad98fead9,31,0.21896160194279052,-0.04574570347447486
e25b48e9-4356-4c4c-8b05-94132af9dac1,0e98819d-d80d-4d85-a7f3-350e8c111b38,32,0.2162690049532444,0.018285489937115318
e25b48e9-4356-4c4c-8b05-94132af9dac1,8fe5ce3a-3cee-4314-bf25-f95574ad3b3a,33,0.21327767756565894,-0.15005240443852758
e25b48e9-4356-4c4c-8b05-94132af9dac1,3550ebe9-4ac9-4109-a045-c67a1a727383,34,0.21048549386089827,-0.03206339894713656
